line,name
1,1 California
1AX,"1AX California ""A"" Express"
1BX,"1BX California ""B"" Express"
2,2 Clement
3,3 Jackson
5,5 Fulton
5R,5R(L) Fulton Rapid
6,6 Parnassus
8,8(X) Bayshore Express
8AX,"8AX Bayshore ""A"" Express"
8BX,"8BX Bayshore ""B"" Express"
9,9 San Bruno
9R,9R(L) San Bruno Rapid
10,10 Townsend
12,12 Folsom Pacific
14,14 Mission
14R,14R(L) Mission Rapid
14X,14X Mission Express
18,18 Forty-Sixth Avenue
19,19 Polk
21,21 Hayes
22,22 Fillmore
23,23 Monterey
24,24 Divisadero
25,25 (108) Treasure Island
27,27 Bryant
28,28 Nineteenth Avenue
28R,28R(L) Nineteenth Ave Rapid
29,29 Sunset
30,30 Stockton
30X,30X Marina Express
31,31 Balboa
31AX,"31 Balboa ""A"" Express"
31BX,"31 Balboa ""B"" Express"
33,33 Stanyan
35,35 Eureka
36,36 Teresita
37,37 Corbett
38,38 Geary
38AX,"38AX Geary ""A"" Express"
38BX,"38BX Geary ""B"" Express"
38R,38R(L) Geary Rapid
39,39 Coit
41,41 Union
43,43 Masonic
44,44 O'Shaughnessy
45,45 Union-Stockton
47,47 Van Ness
48,48 Quintara-24th St
49,49 Mission-Van Ness
52,52 Excelsior
54,54 Felton
56,56 Rutland
57,57 (17) Parkmerced
66,66 Quintara
67,67 Bernal Heights
7,7(71) Haight
7R,7R (71L) Haight Rapid
7X,7X Noriega Express
81X,81X Caltrain Express
82X,82X Levi Plaza Express
83X,83X Mid-Market Express
88,88 BART Shuttle
90,90 San Bruno Owl
91,91 Owl
K OWL,K Owl
L OWL,L Owl
M OWL,M Owl
N OWL,N Owl
T OWL,T Owl
NX,NX Judah Express
